id,name,caption,cleaned_caption
ROCO_00300,PMC3395713_mjhid-4-1-e2012043f2.jpg," Brain magnetic resonance imaging (MRI) after gadolinium injection showed an image in the axial (FLAIR sequence) showing hyper-intensity lesions in the white matter of the frontal lobes. There is no signal abnormality of the cortex. Note that there is no mass effect on the ventricular cavities or midline structures.
",brain magnet reson imag mri gadolinium inject show imag axial flair sequenc show hyperintens lesion white matter frontal lobe signal abnorm cortex note mass effect ventricular caviti midlin structur
ROCO_00302,PMC4203473_can-8-469fig1.jpg," Dosimetric results obtained with RapidArc.
",dosimetr result obtain rapidarc
ROCO_00303,PMC5192032_gr1.jpg," Barium Small Bowel Meal and Follow Through showing normal small and large bowel.
",barium small bowel meal follow show normal small larg bowel
ROCO_00307,PMC4086594_ijcpd-06-109-g005.jpg," CT axial section shows multilocular expansile lytic lesion in body of mandible right side with significant enhancing soft tissue matrix
",ct axial section show multilocular expansil lytic lesion bodi mandibl right side signific enhanc soft tissu matrix
ROCO_00316,PMC4997736_13256_2016_1037_Fig2_HTML.jpg," Computed tomography obtained 3 weeks before admission with diagnosis of aspiration pneumonia showed no hepatic portal venous gas and no gas within the wall of stomach in the visualized portions of the upper abdomen
",comput tomographi obtain week admiss diagnosi aspir pneumonia show hepat portal venou ga ga within wall stomach visual portion upper abdomen
ROCO_00319,PMC5107664_fig-4.jpg," Postoperative day 1 chest radiograph reveals large left pneumothorax.
",postop day chest radiograph reveal larg left pneumothorax
ROCO_00328,PMC2072091_ci07002607.jpg," Left upper lobe squamous cell cancer showing a broad, convex margin with the mediastinum at CT (arrow); there was no mediastinal or pleural invasion at surgery or pathology (T2 tumor).
",left upper lobe squamou cell cancer show broad convex margin mediastinum ct arrow mediastin pleural invas surgeri patholog tumor
ROCO_00332,PMC5030447_CRIOT2016-2868190.001.jpg," CT scan of the thorax demonstrating necrotic paratracheal node. Enhanced axial CT scan of the thorax, mediastinal window, in a 58-year-old female who presented with bilateral vocal cord immobility of unknown etiology. The positive serum anti-Hu antibody, which is highly associated with small cell lung carcinoma, led to this repeat CT scan. The arrow demonstrates an enlarged level 4R paratracheal lymph node with central necrosis. See Figure 2 for the pathologic description of a biopsy from this node.
",ct scan thorax demonstr necrot paratrach node enhanc axial ct scan thorax mediastin window yearold femal present bilater vocal cord immobl unknown etiolog posit serum antihu antibodi highli associ small cell lung carcinoma led repeat ct scan arrow demonstr enlarg level paratrach lymph node central necrosi see figur patholog descript biopsi node
ROCO_00333,PMC3308061_ar3375-3.jpg," Cortical bone changes in rheumatoid arthritis on classical radiography showing striation and lamellation of cortical bone of the phalanx.
",cortic bone chang rheumatoid arthriti classic radiographi show striation lamel cortic bone phalanx
ROCO_00341,PMC4278099_JCIS-4-65-g002.jpg," Twelve-year-old boy presented with nasopharyngeal angiofi broma diagnosed with unilateral meningo-ophthalmic artery anomaly. Computed tomography scan shows midline nasopharyngeal angiofi broma (black arrow), with prominent right-side infiltration into the infratemporal fossa (white arrow).
",twelveyearold boy present nasopharyng angiofi broma diagnos unilater meningoophthalm arteri anomali comput tomographi scan show midlin nasopharyng angiofi broma black arrow promin rightsid infiltr infratempor fossa white arrow
ROCO_00350,PMC4955442_AJPS-13-88-g001.jpg," Pelvis arthrogram showed defective ossification of the lateral acetabular corner, leaving a significant cartilaginous anlage
",pelvi arthrogram show defect ossif later acetabular corner leav signific cartilagin anlag
ROCO_00382,PMC3221140_ASM-31-648-g004.jpg," Left anterior oblique of the common coronary artery and its branches with critical disease the proximal RCA, and mid/distal anomalous LCX.
",left anterior obliqu common coronari arteri branch critic diseas proxim rca middist anomal lcx
ROCO_00391,PMC5225771_IJCCM-20-708-g002.jpg," Calculation of inferior vena cava collapsibility index ([A–B]/B) (%) using ultrasonography
",calcul inferior vena cava collaps index abb use ultrasonographi
ROCO_00402,PMC1693762_ci06014403.jpg," CT guided core biopsy of infracolic omental cake.
",ct guid core biopsi infracol oment cake
ROCO_00425,PMC3780924_jbm-19-159-g001.jpg," Initial radiograph shows a right femoral neck fracture with sclerotic superior cortex and an undisplaced linear pattern.
",initi radiograph show right femor neck fractur sclerot superior cortex undisplac linear pattern
ROCO_00428,PMC3030042_kjae-59-S222-g002.jpg," T2-weighted MR sagittal image shows an isointense schwannoma with cauda equina compression at the S3 level.
",weight mr sagitt imag show isointens schwannoma cauda equina compress level
ROCO_00446,PMC5448459_omx017f02.jpg," Magnetic resonance angiography at presentation showing the giant intracranial aneurysm and onset ectasia of the left carotid siphon.
",magnet reson angiographi present show giant intracrani aneurysm onset ectasia left carotid siphon
ROCO_00447,PMC4245278_bpb-24-71-g002.jpg," MRI of the right elbow (T2 image) demonstrates fusion of the proximal one-third of the ulna and radius. Note the anterior dislocation of the radial head, joint fluid effusion, tension of anterior capsule, and edema signal in the anterior soft tissue.
",mri right elbow imag demonstr fusion proxim onethird ulna radiu note anterior disloc radial head joint fluid effus tension anterior capsul edema signal anterior soft tissu
ROCO_00450,PMC3405158_kjped-55-254-g001.jpg," Anteroposterior chest radiograph showing cardiomegaly as well as an irregular contour to the lateral margin of the descending thoracic aorta (arrows).
",anteroposterior chest radiograph show cardiomegali well irregular contour later margin descend thorac aorta arrow
ROCO_00454,PMC3487871_1746-1596-7-67-1.jpg," The chest X-ray showed mild increase of transverse cardiac diameter. The left cardiac border protruded left mildly.
",chest xray show mild increas transvers cardiac diamet left cardiac border protrud left mildli
ROCO_00468,PMC2880347_ijgm-3-143f2.jpg," Computerized tomography reveals dilated intrahepatic biliary ducts.
",computer tomographi reveal dilat intrahepat biliari duct
ROCO_00477,PMC3579994_13244_2012_207_Fig39_HTML.jpg,"  Pneumocystis pneumonia in an AIDS patient. HRCT at the level of the upper lobes reveals a mixed “ground-glass and cystic pattern” characterised by the presence of diffuse areas of ground-glass opacity and a few thin-walled multilocular cysts
",pneumocysti pneumonia aid patient hrct level upper lobe reveal mix groundglass cystic pattern characteris presenc diffus area groundglass opac thinwal multilocular cyst
ROCO_00481,PMC3046000_1471-2474-12-45-3.jpg," Failed Consolidation after treatment with nailing alone. Elastic stable intramedullary Nailing in combination with Orthoss® and GPS® after earlier failed treatment. Radiograph three months following the initial GPS®/Orthoss® treatment resulting in bone mineralization.
",fail consolid treatment nail alon elast stabl intramedullari nail combin orthoss gp earlier fail treatment radiograph three month follow initi gpsorthoss treatment result bone miner
ROCO_00494,PMC3193693_JMAS-7-232-g001.jpg," CT scan showing a large left ovarian cyst
",ct scan show larg left ovarian cyst
ROCO_00496,PMC3950805_ABR-3-59-g003.jpg," An HC with a diameter of 0.37 cm in the left hippocampus is noted in the T1-weighted image at the level of the hippocampus
",hc diamet cm left hippocampu note weight imag level hippocampu
ROCO_00506,PMC3491799_IJOrtho-46-596-g002.jpg," Fragmented humeral head stepping over thoracic aorta (black arrow)
",fragment humer head step thorac aorta black arrow
ROCO_00509,PMC2698069_kjr-4-117-g002.jpg," Ultrasound image of bovine liver depicts the tips (arrows) of two cannulae inserted using introducer sets prior to RF ablation. On two hyperechoic tips, posterior acoustic shadowing is visible.
",ultrasound imag bovin liver depict tip arrow two cannula insert use introduc set prior rf ablat two hyperecho tip posterior acoust shadow visibl
ROCO_00515,PMC4927106_cmc-10-2016-091fa5.jpg," The aortic root demonstrating the linear measurements of the patient that suffered a dissection.
",aortic root demonstr linear measur patient suffer dissect
ROCO_00522,PMC5445654_SNI-8-78-g002.jpg," (Case #2) Computed tomography of the abdomen showing right upper quadrant abdominal pseudocyst (arrow) near the gastric outlet
",case comput tomographi abdomen show right upper quadrant abdomin pseudocyst arrow near gastric outlet
ROCO_00535,PMC3598197_2251-6581-12-7-2.jpg," Renal manifestations on CT abdomen. Bilateral nephromegaly (Greater than 2 standard deviation for age), and nephrocalcinosis (in red box).
",renal manifest ct abdomen bilater nephromegali greater standard deviat age nephrocalcinosi red box
ROCO_00557,PMC4559619_astr-89-158-g004.jpg," Abdominal CT finding reveals a remained round foreign body in appendix, dilated appendix.
",abdomin ct find reveal remain round foreign bodi appendix dilat appendix
ROCO_00569,PMC2786995_GRP2009-483473.002.jpg," MRI findings. The cystic duct was not seen.
",mri find cystic duct seen
ROCO_00570,PMC3548666_10.1177_1941738112468416-fig32.jpg," Six weeks after partial medial meniscectomy, coronal fat-saturated T2-weighted image shows a subchondral fracture of the medial femoral condyle (large arrow) with marked surrounding marrow edema pattern as well as a smaller subchondral fracture of the central aspect of the lateral femoral condyle (small arrow) with less extensive adjacent marrow edema pattern. This case is unusual given subchondral fractures in both compartments; usually, the fracture occurs in the compartment where there has been prior partial meniscectomy or where there is a radial split or complex tear of the posterior horn root.
",six week partial medial meniscectomi coron fatsatur weight imag show subchondr fractur medial femor condyl larg arrow mark surround marrow edema pattern well smaller subchondr fractur central aspect later femor condyl small arrow le extens adjac marrow edema pattern case unusu given subchondr fractur compart usual fractur occur compart prior partial meniscectomi radial split complex tear posterior horn root
ROCO_00582,PMC3130474_UA-3-108-g001.jpg," CT scan with images of opacification of the bladder demonstrating extra-peritoneal extravasations of the infused contrast from the posterior aspect of the bladder
",ct scan imag opacif bladder demonstr extraperiton extravas infus contrast posterior aspect bladder
ROCO_00587,PMC4902413_medi-95-e3662-g008.jpg," Radiographic appearance after 6 months showed the lesion disappeared.
",radiograph appear month show lesion disappear
ROCO_00599,PMC5221604_rjw195f04.jpg," Abdominal MRI demonstrates the cyst (asterisk) intimately related to the left lobe of liver (L), spleen (S) and gastric body (G), still without a clearly demonstrable plane between the structures.
",abdomin mri demonstr cyst asterisk intim relat left lobe liver l spleen gastric bodi g still without clearli demonstr plane structur
ROCO_00611,PMC3031187_SHORTS-10-08402.jpg," Transoesophageal echocardiogram demonstrating a mass (fibroelastoma) of the left ventricular outflow tract
",transoesophag echocardiogram demonstr mass fibroelastoma left ventricular outflow tract
ROCO_00619,PMC5583204_jkaoms-43-276-g005.jpg," Immediate after surgery: enucleation of cyst & fixation of bended 8-hole plate and five screws; extraction of #26.
",immedi surgeri enucl cyst fixat bend hole plate five screw extract
ROCO_00662,PMC2722009_jkms-21-936-g003.jpg," Radiograph of the chest revealing bilateral pleural effusion.
",radiograph chest reveal bilater pleural effus
ROCO_00670,PMC3507746_pone.0050485.g008.jpg," Felis catus, adult, longitudinal section through the middle ear generated by Avizo®7 from CT data [42] (see text for methods).Seam between tympanic plate of mallear rostral process and ectotympanic is marked by carets. Scale = 2 mm. Abbreviations: ecto, ectotympanic; en, ectotympanic notch; hm, head of malleus; i, incus; mh, mallear hook; ol, osseous lamina; pet, petrosal; tp, tympanic plate of rostral process.
",feli catu adult longitudin section middl ear gener avizo ct data see text methodsseam tympan plate mallear rostral process ectotympan mark caret scale mm abbrevi ecto ectotympan en ectotympan notch hm head malleu incu mh mallear hook ol osseou lamina pet petros tp tympan plate rostral process
ROCO_00676,PMC5318148_cureus-0009-00000000982-i01.jpg," Axial section of CECT abdomen showing enlarged left psoas muscle with ill-defined hypodense areas (star) and retroperitoneal fat stranding (solid arrow). Fluid collection with multiple air pockets are seen in the left posterior preperitoneal space (hollow arrow).
",axial section cect abdomen show enlarg left psoa muscl illdefin hypodens area star retroperiton fat strand solid arrow fluid collect multipl air pocket seen left posterior preperiton space hollow arrow
ROCO_00682,PMC5088320_CRIM2016-6974526.005.jpg," CT after treatment demonstrates packing coil seated in right ACC to hypoglossal canal (treated 5 years ago) and in left ACC.
",ct treatment demonstr pack coil seat right acc hypogloss canal treat year ago left acc
ROCO_00686,PMC3603084_IJEM-16-378-g004.jpg," Computed tomography showing large bilateral adrenal masses
",comput tomographi show larg bilater adren mass
ROCO_00687,PMC5730141_2176-9451-dpjo-22-05-00090-gf1.jpg," Schematic representation of the method used to measure interradicular spaces. First, the cemento-enamel junction (CEJ) of the two adjacent teeth was identified. Starting from the CEJ, a ruler was scrolled down toward the root apex until 3 mm of horizontal interradicular space was found; then, the distance from the CEJ was measured as well as the total root length from the CEJ to the apex.
",schemat represent method use measur interradicular space first cementoenamel junction cej two adjac teeth identifi start cej ruler scroll toward root apex mm horizont interradicular space found distanc cej measur well total root length cej apex
ROCO_00697,PMC5343644_AMS-6-292-g011.jpg," Bullet localization intraoperatively by portable imaging system (C-arm)
",bullet local intraop portabl imag system carm
ROCO_00706,PMC5647615_JoU.2017.0029-g004.jpg," Longitudinal section – intercostal space (“bat sign”): F – subcutaneous fat. ICE –external intercostal muscle, R – ribs, horizontal arrows – internal intercostal muscle, upwards arrow – pleura
",longitudin section intercost space bat sign f subcutan fat ice extern intercost muscl r rib horizont arrow intern intercost muscl upward arrow pleura
ROCO_00708,PMC5090997_DRJ-13-396-g004.jpg," Other parameters to evaluate airway.
",paramet evalu airway
ROCO_00711,PMC3261382_464_2011_1901_Fig3_HTML.jpg," Abdominal computed tomography (CT) scan of retroperitoneal recurrence
",abdomin comput tomographi ct scan retroperiton recurr
ROCO_00723,PMC5234426_astr-92-51-g001.jpg," MRI abdomen: no lymph node or distant metastasis. A fetus in the uterus can be seen.
",mri abdomen lymph node distant metastasi fetu uteru seen
ROCO_00744,PMC4664908_kjod-45-322-g004.jpg," Three-dimensional reconstruction of the maxilla, with transposition of the left canine and first premolar.
",threedimension reconstruct maxilla transposit left canin first premolar
ROCO_00747,PMC5025131_AJUM-15-18-g001.jpg," Antenatal ultrasound image at 20 weeks gestation, illustrating megalourethra which is a cystic structure ballooning distally to the penile portion of the urethra.
",antenat ultrasound imag week gestat illustr megalourethra cystic structur balloon distal penil portion urethra
ROCO_00750,PMC5638292_pone.0185922.g004.jpg," OBS 600 –Automatic sorting machine for waste portable batteries.Source: Optisort.
",ob automat sort machin wast portabl batteriessourc optisort
ROCO_00773,PMC3603167_CRIM.PULMONOLOGY2013-159508.001.jpg," Chest radiograph showing left-sided pleural effusion shortly after admission.
",chest radiograph show leftsid pleural effus shortli admiss
ROCO_00816,PMC3183319_12024_2011_9236_Fig10_HTML.jpg," Post mortem CT shows hydrocephalus (asterisk) and multicystic encephalomalacia (arrow)
",post mortem ct show hydrocephalu asterisk multicyst encephalomalacia arrow
ROCO_00821,PMC3591041_AMS-1-87-g002.jpg," Axial CT demonstrating a well-defined lesion with the expansion of buccal and lingual cortical plates
",axial ct demonstr welldefin lesion expans buccal lingual cortic plate
ROCO_00830,PMC5710024_RomJOphthalmol-61-144-g005.jpg," FA on the left eye is normal
",fa left eye normal
ROCO_00833,PMC2831869_1749-799X-5-9-9.jpg," Impaction of the fracture during weight bearing resulted in screw joint penetration three months postoperatively.
",impact fractur weight bear result screw joint penetr three month postop
ROCO_00841,PMC5651116_CRIU2017-8527071.001.jpg," Doppler ultrasound performed upon patient presentation demonstrating heterogeneous echotexture in both the testicle and the epididymis signifying ischemia and inflammation in the testicle and necrosis in the epididymis (red arrows). Only peripheral blood flow to the testicle is present while blood flow to the epididymis is maintained. Additionally, a significant hematoma is visualized on the anterior aspect of the testicle (green arrow).
",doppler ultrasound perform upon patient present demonstr heterogen echotextur testicl epididymi signifi ischemia inflamm testicl necrosi epididymi red arrow peripher blood flow testicl present blood flow epididymi maintain addit signific hematoma visual anterior aspect testicl green arrow
ROCO_00862,PMC4427095_CRIHEM2015-359735.001.jpg," Plain radiograph showing a lytic lesion in the right iliac wing with minimal periosteal reaction.
",plain radiograph show lytic lesion right iliac wing minim periost reaction
ROCO_00868,PMC1779795_1477-7800-4-1-7.jpg," Sagittal transperineal sonography showing the recurrent mass in the same patient occupying the rectovaginal septum. The vagina has been filled with acoustic contrast.
",sagitt transperin sonographi show recurr mass patient occupi rectovagin septum vagina fill acoust contrast
ROCO_00887,PMC3983535_jcen-15-326-g005.jpg," Cerebral angiogram after CAS demonstrates ophthalmic artery occlusion (arrow).
",cerebr angiogram ca demonstr ophthalm arteri occlus arrow
ROCO_00889,PMC5721335_TOORTHJ-11-1277_F9.jpg," CT Scan in Sagittal Section showing a coronal plane fracture of distal femur (Hoffa Fracture).
",ct scan sagitt section show coron plane fractur distal femur hoffa fractur
ROCO_00894,PMC5034021_JoU-2016-0027-g008.jpg," Third degree of adiposis. Clearly deteriorated dorsal transsonicity of the pancreas. Invisible splenic vein and anatomical structures located deeper. F – supraperitoneal fat
",third degre adiposi clearli deterior dorsal transson pancrea invis splenic vein anatom structur locat deeper f supraperiton fat
ROCO_00906,PMC3259322_13244_2011_76_Fig13_HTML.jpg," Subcutaneous epidermoid cyst at the phalanges (arrowheads). Longitudinal ultrasound showing a well-defined subcutaneous lesion with variable echogenicity (anechoic components and some internal hyperechoic debris)
",subcutan epidermoid cyst phalang arrowhead longitudin ultrasound show welldefin subcutan lesion variabl echogen anecho compon intern hyperecho debri
ROCO_00925,PMC5306347_12024_2016_9821_Fig9_HTML.jpg," PMMR of hypoxic brain changes. Axial T2-weighted PMMR image through a fetal post mortem brain, showing an example of typical low signal change in the basal ganglia which may be associated with hypoxia. Conventional PMMR cannot currently distinguish antemortem from postmortem hypoxic change
",pmmr hypox brain chang axial weight pmmr imag fetal post mortem brain show exampl typic low signal chang basal ganglion may associ hypoxia convent pmmr cannot current distinguish antemortem postmortem hypox chang
ROCO_00929,PMC3247729_sensors-10-05724f2.jpg," Susceptibility-Weighted Imaging at 7 T (8-channel head coil); this image represents a minimum intensity projection over a 6 mm slab. Note that both, veins and iron containing structures like the basal ganglia appear hypo intense. This image was acquired using an echo time of 15 ms and a resolution of 0.3 × 0.3 × 1.2 mm.
",susceptibilityweight imag channel head coil imag repres minimum intens project mm slab note vein iron contain structur like basal ganglion appear hypo intens imag acquir use echo time m resolut mm
ROCO_00936,PMC4013744_JETS-7-97-g004.jpg," The primary bullet path by a full metal jacket two-shot technique
",primari bullet path full metal jacket twoshot techniqu
ROCO_00953,PMC4276083_gr2.jpg," Axial CT scan of the incarcerated stomach; the first part of the duodenum is seen leaving the inguinal hernia.
",axial ct scan incarcer stomach first part duodenum seen leav inguin hernia
ROCO_00962,PMC3885152_2000213-galleyfig3a.jpg," Anteroposterior radiographs of a female patient who underwent bilateral Ludloff open reduction aged 5 months; a) at 1.6 years post-operatively, showing advanced subluxation of the femoral head and residual acetabular dysplasia; b) two months after bilateral Salter and femoral derotation varus osteotomies;c) after recurrence of coxa valga without aseptic necrosis at nine years of age and d) Severin group IIa of both hips at 28 years of age.
",anteroposterior radiograph femal patient underw bilater ludloff open reduct age month year postop show advanc sublux femor head residu acetabular dysplasia b two month bilater salter femor derot varu osteotomiesc recurr coxa valga without asept necrosi nine year age severin group iia hip year age
ROCO_00969,PMC3636830_CCD-3-471-g002.jpg," Immediate postoperative orthopentomogram
",immedi postop orthopentomogram
ROCO_00995,PMC4476323_PJMS-31-263-g003.jpg," Sagittal TE weighted MR image reveal what was thought to be complete ACL rupture (arrow) was not appreciated as a complete rupture at arthroscopy. According to the arthroscopist it was a partial tear that involved approximately 75% of the ligamentous body.
",sagitt te weight mr imag reveal thought complet acl ruptur arrow appreci complet ruptur arthroscopi accord arthroscopist partial tear involv approxim ligament bodi
ROCO_01012,PMC3470974_1758-2555-4-18-4.jpg," These radiographs of a 39 year old male (case report 1) were made one year after open reduction and internal fixation. A good bony consolidation but an incomplete reconstruction of the joint line is visible.
",radiograph year old male case report made one year open reduct intern fixat good boni consolid incomplet reconstruct joint line visibl
ROCO_01015,PMC5540343_12957_2017_1214_Fig3_HTML.jpg," PET/CT imaging. PET/CT showing that the masses displayed increased FDG uptake
",petct imag petct show mass display increas fdg uptak
ROCO_01018,PMC4351034_gnl-09-251f3.jpg," Cholangiographic finding. Endoscopic retrograde cholangiography using carbon dioxide insufflation shows kinking of the common bile duct 1 cm above the proximal end of the metal stent (arrows).
",cholangiograph find endoscop retrograd cholangiographi use carbon dioxid insuffl show kink common bile duct cm proxim end metal stent arrow
ROCO_01037,PMC5624676_wjon-06-485-g002.jpg," CT scan 6 months after mitotane treatment showing reduction in size of the adrenal mass.
",ct scan month mitotan treatment show reduct size adren mass
ROCO_01038,PMC3522413_iranjradiol-08-07-g007.jpg," Abdominal ultrasound image in a 48-year-old female with benign lesser curvature gastric ulcer showing thickening of the gastric wall and a niche-like echogenicity (arrow), probably representing the ulcer carter.
",abdomin ultrasound imag yearold femal benign lesser curvatur gastric ulcer show thicken gastric wall nichelik echogen arrow probabl repres ulcer carter
ROCO_01041,PMC5439541_bctt-9-337Fig1.jpg," Axial cut of CT-chest demonstrates a well-circumscribed soft tissue density (*) in the left breast measuring 3.1×3.7 cm.Abbreviation: CT, computed tomography.
",axial cut ctchest demonstr wellcircumscrib soft tissu densiti left breast measur cmabbrevi ct comput tomographi
ROCO_01054,PMC3021309_jsls-14-1-95-g04.jpg," Supine ventral-dorsal abdominal x-ray immediately after surgery. In the right abdominal wall is a Small Hybrid Rebound HRD. In the left side is a Dog Bone Rebound HRD.
",supin ventraldors abdomin xray immedi surgeri right abdomin wall small hybrid rebound hrd left side dog bone rebound hrd
ROCO_01062,PMC4968987_tcrm-12-1139Fig6.jpg," Passing the lesion.Abbreviations: CRAN, cranial; RAO, right anterior oblique.
",pas lesionabbrevi cran cranial rao right anterior obliqu
ROCO_01077,PMC2929424_crg0004-0250-f04.jpg," Increased activity in the upper left quadrant of case 3 at the 2nd hour. The activity has moved towards the inferior quadrant at the 4th hour.
",increas activ upper left quadrant case hour activ move toward inferior quadrant hour
ROCO_01082,PMC5109395_wjps-5-308-g003.jpg," MRI scan of chest – Axial view. Note the anterior chest wall defect
",mri scan chest axial view note anterior chest wall defect
ROCO_01094,PMC5304378_JMedLife-10-70-g004.jpg," Tooth 3.4 reduced periapical radiolucency
",tooth reduc periap radioluc
ROCO_01123,PMC4462460_cm-86-383f2.jpg," CT scan portal phase. After contrast enhancement, there was no enhancing portion of the lesion.
",ct scan portal phase contrast enhanc enhanc portion lesion
ROCO_01154,PMC5480154_12885_2017_3434_Fig3_HTML.jpg," The PET-CT image shows intense fluorine-18 fluorodeoxyglucose (18F–FDG) uptake with a maximum standardized uptake value (SUV) of 9.0 (arrow). There is no suspected extrasplenic tumor dissemination or metastasis
",petct imag show intens fluorin fluorodeoxyglucos fdg uptak maximum standard uptak valu suv arrow suspect extrasplen tumor dissemin metastasi
ROCO_01160,PMC2958911_1476-7120-8-44-2.jpg," Transthoracic short axis parasternal view measuring the vegetation about 20 mm long.
",transthorac short axi parastern view measur veget mm long
ROCO_01164,PMC4487501_gr6.jpg," Radiograph of an individual with hereditary multiple exostosis. Note the deformity of the forearm (due to shortening of the ulna).
",radiograph individu hereditari multipl exostosi note deform forearm due shorten ulna
ROCO_01176,PMC4763165_rjw01704.jpg," CT scan (frontal view) demonstrating multiple locules of air (arrows).
",ct scan frontal view demonstr multipl locul air arrow
ROCO_01194,PMC4613571_JoU-2013-0007-g014.jpg," After the transposition of the ulnar nerve with the symptoms of secondary neuropathy. Bending (arrow) of the nerve (asterisks) at the site where it enters between the heads of the flexor carpi ulnaris muscle
",transposit ulnar nerv symptom secondari neuropathi bend arrow nerv asterisk site enter head flexor carpus ulnari muscl
ROCO_01226,PMC4313000_CRIOR2015-703790.002.jpg," Short tau inversion recovery magnetic resonance imaging shows significant deviation of the median nerve toward the fracture site of the radius (arrow).
",short tau invers recoveri magnet reson imag show signific deviat median nerv toward fractur site radiu arrow
ROCO_01228,PMC5577080_1349-7235-56-2019-g001.jpg," An ultrasound scan reveals a giant hepatic cyst. Echogenic substances are visible at the bottom of the cyst leading to a “fluid-fluid” level.
",ultrasound scan reveal giant hepat cyst echogen substanc visibl bottom cyst lead fluidfluid level
